,state,state_name,murders,population,murder_rate
0,ak,Alaska,62,739795,8.380700059
1,al,Alabama,404,4874747,8.287609592999999
2,ar,Arkansas,258,3004279,8.587751004
3,az,Arizona,416,7016270,5.929076276
4,ca,California,1830,39536653,4.628616388
5,co,Colorado,221,5607154,3.941393441
6,ct,Connecticut,102,3588184,2.842663587
7,dc,District of Columbia,116,693972,16.7153718
8,de,Delaware,54,961939,5.613661573
9,fl,Florida,1057,20984400,5.037075161000001
10,ga,Georgia,703,10429379,6.740573911
11,hi,Hawaii,39,1427538,2.731976312
12,ia,Iowa,104,3145711,3.30608883
13,id,Idaho,32,1716943,1.863777656
14,il,Illinois,997,12802023,7.787831657999999
15,in,Indiana,397,6666818,5.954864825
16,ks,Kansas,160,2913123,5.492387379
17,ky,Kentucky,263,4454189,5.904554117000001
18,la,Louisiana,582,4684333,12.42439425
19,ma,Massachusetts,173,6859819,2.52193243
20,md,Maryland,546,6052177,9.021547123
21,me,Maine,23,1335907,1.721676733
22,mi,Michigan,569,9962311,5.711526171
23,mn,Minnesota,113,5576606,2.026322103
24,mo,Missouri,600,6113532,9.81429393
25,ms,Mississippi,245,2984100,8.210180624
26,mt,Montana,41,1050493,3.9029293860000003
27,nc,North Carolina,591,10273419,5.752709979
28,nd,North Dakota,10,755393,1.323814227
29,ne,Nebraska,43,1920076,2.239494687
30,nh,New Hampshire,14,1342795,1.04260144
31,nj,New Jersey,324,9005644,3.597743815
32,nm,New Mexico,148,2088070,7.087884985
33,nv,Nevada,274,2998039,9.139307394
34,ny,New York,548,19849399,2.760788878
35,oh,Ohio,710,11658609,6.089920332999999
36,ok,Oklahoma,242,3930864,6.156407345
37,or,Oregon,104,4142776,2.510393997
38,pa,Pennsylvania,739,12805537,5.7709411170000005
39,ri,Rhode Island,20,1059639,1.8874352490000001
40,sc,South Carolina,390,5024369,7.762168742
41,sd,South Dakota,25,869666,2.8746668260000003
42,tn,Tennessee,527,6715984,7.846951392
43,tx,Texas,1412,28304596,4.9885891319999995
44,ut,Utah,73,3101833,2.353447139
45,va,Virginia,453,8470020,5.348275447
46,vt,Vermont,14,623657,2.244823677
47,wa,Washington,230,7405743,3.105697835
48,wi,Wisconsin,186,5795483,3.209396007
49,wv,West Virginia,85,1815857,4.680985342
50,wy,Wyoming,15,579315,2.589264908
